"fpv"	"pro"	"una"	"soc"	"fit"
"1"	39.89	29.07	19.68	4.33	3.8
"2"	19.95	14.54	9.84	2.17	1.9
"3"	13.3	9.69	6.56	1.44	1.27
"4"	9.97	7.27	4.92	1.08	0.95
"5"	7.98	5.81	3.94	0.87	0.76
"6"	6.65	4.84	3.28	0.72	0.63
"7"	5.7	4.15	2.81	0.62	0.54
"8"	4.99	3.63	2.46	0.54	0.48
"9"	4.43	3.23	2.19	0.48	0.42
"10"	3.99	2.91	1.97	0.43	0.38
"11"	3.63	2.64	1.79	0.39	0.35
"12"	3.32	2.42	1.64	0.36	0.32
"13"	3.07	2.24	1.51	0.33	0.29
"14"	2.85	2.08	1.41	0.31	0.27
"15"	2.66	1.94	1.31	0.29	0.25
"16"	2.49	1.82	1.23	0.27	0.24
"17"	2.35	1.71	1.16	0.25	0.22
"18"	2.22	1.62	1.09	0.24	0.21
"19"	2.1	1.53	1.04	0.23	0.2
"20"	1.99	1.45	0.98	0.22	0.19
"21"	1.9	1.38	0.94	0.21	0.18
"22"	1.81	1.32	0.89	0.2	0.17
"23"	1.73	1.26	0.86	0.19	0.17
"24"	1.66	1.21	0.82	0.18	0.16
"25"	1.6	1.16	0.79	0.17	0.15
"26"	1.53	1.12	0.76	0.17	0.15
"27"	1.48	1.08	0.73	0.16	0.14
"28"	1.42	1.04	0.7	0.15	0.14
"29"	1.38	1	0.68	0.15	0.13
"30"	1.33	0.97	0.66	0.14	0.13
"31"	1.29	0.94	0.63	0.14	0.12
"32"	1.25	0.91	0.62	0.14	0.12
"33"	1.21	0.88	0.6	0.13	0.12
"34"	1.17	0.86	0.58	0.13	0.11
"35"	1.14	0.83	0.56	0.12	0.11
